country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
CAN,46.52014,-84.39189,328.87,0.39,0.37,2023-02-17,745,1,VIIRS,n,2.0NRT,256.63,5.14,N
CAN,53.8457,-113.11591,301.69,0.45,0.39,2023-02-17,926,1,VIIRS,n,2.0NRT,270.98,1.8,N
CAN,56.03485,-122.70115,320.63,0.35,0.57,2023-02-17,926,1,VIIRS,n,2.0NRT,263.03,3.26,N
CAN,53.11619,-114.98067,302.02,0.47,0.64,2023-02-17,1106,1,VIIRS,n,2.0NRT,264.26,0.83,N
CAN,53.84822,-113.11937,295.71,0.51,0.66,2023-02-17,1106,1,VIIRS,n,2.0NRT,267.2,1.55,N
CAN,54.0889,-117.68946,367,0.34,0.56,2023-02-17,1106,1,VIIRS,h,2.0NRT,260.74,6.46,N
CAN,54.44673,-116.90985,303.23,0.36,0.57,2023-02-17,1106,1,VIIRS,n,2.0NRT,265.03,0.59,N
CAN,54.44706,-116.90849,295.31,0.36,0.57,2023-02-17,1106,1,VIIRS,n,2.0NRT,265.33,0.62,N
CAN,54.61684,-118.3846,314.5,0.62,0.54,2023-02-17,1106,1,VIIRS,n,2.0NRT,265.12,2.69,N
CAN,55.55764,-119.75549,335.88,0.52,0.5,2023-02-17,1106,1,VIIRS,n,2.0NRT,267.58,3.52,N
CAN,55.57129,-122.1108,312.05,0.43,0.46,2023-02-17,1106,1,VIIRS,n,2.0NRT,262.1,1.64,N
CAN,57.46763,-122.96653,346.63,0.46,0.63,2023-02-17,1919,1,VIIRS,n,2.0NRT,269.93,28,D
CAN,57.46859,-122.9614,346.17,0.46,0.63,2023-02-17,1919,1,VIIRS,n,2.0NRT,279.09,56.19,D
CAN,57.46982,-122.96067,339.9,0.46,0.63,2023-02-17,1919,1,VIIRS,n,2.0NRT,281.93,37.3,D
CAN,57.47071,-122.95563,356.51,0.46,0.63,2023-02-17,1919,1,VIIRS,l,2.0NRT,271.6,56.08,D
CAN,57.47197,-122.9549,356.13,0.46,0.63,2023-02-17,1919,1,VIIRS,l,2.0NRT,267.42,37.3,D
CAN,57.47213,-122.97358,326.87,0.46,0.63,2023-02-17,1919,1,VIIRS,n,2.0NRT,267.78,28,D
CAN,57.47318,-122.96824,341.65,0.46,0.63,2023-02-17,1919,1,VIIRS,n,2.0NRT,276.47,56.19,D
CAN,57.47442,-122.96743,349.48,0.46,0.63,2023-02-17,1919,1,VIIRS,n,2.0NRT,276,37.3,D
CAN,57.4754,-122.96219,355.98,0.46,0.63,2023-02-17,1919,1,VIIRS,n,2.0NRT,274.02,56.08,D
CAN,57.47666,-122.96143,356,0.46,0.63,2023-02-17,1919,1,VIIRS,l,2.0NRT,267.95,37.3,D
CAN,50.11471,-118.88,335.95,0.44,0.38,2023-02-17,2055,1,VIIRS,n,2.0NRT,272.53,41.66,D
CAN,50.29049,-121.55444,331.06,0.39,0.36,2023-02-17,2055,1,VIIRS,n,2.0NRT,274.55,7.72,D
CAN,50.29377,-121.5556,347.81,0.39,0.36,2023-02-17,2055,1,VIIRS,n,2.0NRT,277.18,7.72,D
CAN,50.29452,-121.55025,327.63,0.39,0.36,2023-02-17,2055,1,VIIRS,n,2.0NRT,274.06,3.35,D
CAN,56.0304,-122.69104,350.2,0.41,0.37,2023-02-17,2055,1,VIIRS,n,2.0NRT,271.62,7.16,D
CAN,56.03537,-122.67972,336.77,0.41,0.37,2023-02-17,2055,1,VIIRS,n,2.0NRT,270.17,78.56,D
CAN,56.03617,-122.67341,325.45,0.41,0.37,2023-02-17,2055,1,VIIRS,n,2.0NRT,265.87,4.45,D
CAN,56.03873,-122.68114,354.86,0.41,0.37,2023-02-17,2055,1,VIIRS,n,2.0NRT,270.35,78.56,D
CAN,56.03954,-122.67472,342.16,0.41,0.37,2023-02-17,2055,1,VIIRS,n,2.0NRT,265.87,4.45,D
CAN,56.04288,-122.67624,351.33,0.41,0.37,2023-02-17,2055,1,VIIRS,n,2.0NRT,265.93,8.02,D
CAN,56.04622,-122.67783,325.36,0.41,0.37,2023-02-17,2055,1,VIIRS,n,2.0NRT,265.05,8.02,D
CAN,57.46886,-122.95982,328.5,0.42,0.38,2023-02-17,2057,1,VIIRS,n,2.0NRT,268.76,97.93,D
CAN,57.4748,-122.96941,341.46,0.42,0.38,2023-02-17,2057,1,VIIRS,n,2.0NRT,282.8,28.37,D
CAN,57.47566,-122.96249,333.38,0.42,0.38,2023-02-17,2057,1,VIIRS,n,2.0NRT,280.27,19.84,D
CAN,57.47821,-122.97071,332.27,0.42,0.38,2023-02-17,2057,1,VIIRS,n,2.0NRT,270.54,28.37,D
CAN,57.47907,-122.96383,326.71,0.42,0.38,2023-02-17,2057,1,VIIRS,n,2.0NRT,268.21,19.84,D
